序號,答案
20240224124001,384.19
20240224125001,384.16
20240224130001,384.13
20240224131001,384.1
20240224132001,384.08
20240224133001,384.07
20240224134001,384.07
20240224135001,384.07
20240224140001,384.07
20240224141001,384.07
20240224142001,384.07
20240224143001,384.07
20240224144001,384.07
20240224145001,384.07
20240224150001,384.07
20240224151001,384.07
20240224152001,384.07
20240224153001,384.07
20240224154001,384.07
20240224155001,384.07
20240224160001,384.07
20240224161001,384.07
20240224162001,384.07
20240224163001,384.07
20240224164001,384.07
20240224165001,384.07
20240226090001,89.45
20240226091001,329.55
20240226092001,292.71
20240226093001,306.97
20240226094001,331.22
20240226095001,354.83
20240226100001,370.2
20240226101001,377.49
20240226102001,377.43
20240226103001,375.28
20240226104001,373.01
20240226105001,374.36
20240226110001,378.95
20240226111001,382.24
20240226112001,383.93
20240226113001,384.55
20240226114001,384.66
20240226115001,384.58
20240226120001,384.46
20240226121001,384.36
20240226122001,384.28
20240226123001,384.23
20240226124001,384.19
20240226125001,384.16
20240226130001,384.13
20240226131001,384.1
20240226132001,384.08
20240226133001,384.07
20240226134001,384.07
20240226135001,384.07
20240226140001,384.07
20240226141001,384.07
20240226142001,384.07
20240226143001,384.07
20240226144001,384.07
20240226145001,384.07
20240226150001,384.07
20240226151001,384.07
20240226152001,384.07
20240226153001,384.07
20240226154001,384.07
20240226155001,384.07
20240226160001,384.07
20240226161001,384.07
20240226162001,384.07
20240226163001,384.07
20240226164001,384.07
20240226165001,384.07
20240327090001,150.15
20240327091001,179.47
20240327092001,230.28
20240327093001,273.88
20240327094001,313.92
20240327095001,343.55
20240327100001,361.92
20240327101001,370.88
20240327102001,372.78
20240327103001,372.11
20240327104001,372.06
20240327105001,374.73
20240327110001,378.95
20240327111001,382.24
20240327112001,383.93
20240327113001,384.55
20240327114001,384.66
20240327115001,384.58
20240327120001,384.46
20240327121001,384.36
20240327122001,384.28
20240327123001,384.23
20240327124001,384.19
20240327125001,384.16
20240327130001,384.13
20240327131001,384.1
20240327132001,384.08
20240327133001,384.07
20240327134001,384.07
20240327135001,384.07
20240327140001,384.07
20240327141001,384.07
20240327142001,384.07
20240327143001,384.07
20240327144001,384.07
20240327145001,384.07
20240327150001,384.07
20240327151001,384.07
20240327152001,384.07
20240327153001,384.07
20240327154001,384.07
20240327155001,384.07
20240327160001,384.07
20240327161001,384.07
20240327162001,384.07
20240327163001,384.07
20240327164001,384.07
20240327165001,384.07
20240329090001,37.71
20240329091001,247.24
20240329092001,236.74
20240329093001,279.6
20240329094001,321.9
20240329095001,350.61
20240329100001,369.68
20240329101001,379.3
20240329102001,378.54
20240329103001,379.27
20240329104001,377.02
20240329105001,375.2
20240329110001,378.95
20240329111001,382.24
20240329112001,383.93
20240329113001,384.55
20240329114001,384.66
20240329115001,384.58
20240329120001,384.46
20240329121001,384.36
20240329122001,384.28
20240329123001,384.23
20240329124001,384.19
20240329125001,384.16
20240329130001,384.13
20240329131001,384.1
20240329132001,384.08
20240329133001,384.07
20240329134001,384.07
20240329135001,384.07
20240329140001,384.07
20240329141001,384.07
20240329142001,384.07
20240329143001,384.07
20240329144001,384.07
20240329145001,384.07
20240329150001,384.07
20240329151001,384.07
20240329152001,384.07
20240329153001,384.07
20240329154001,384.07
20240329155001,384.07
20240329160001,384.07
20240329161001,384.07
20240329162001,384.07
20240329163001,384.07
20240329164001,384.07
20240329165001,384.07
20240428090001,246.03
20240428091001,189.33
20240428092001,234.52
20240428093001,278.71
20240428094001,316.96
20240428095001,344.49
20240428100001,361.84
20240428101001,370.3
20240428102001,372.51
20240428103001,372.86
20240428104001,373.41
20240428105001,375.03
20240428110001,378.95
20240428111001,382.24
20240428112001,383.93
20240428113001,384.55
20240428114001,384.66
20240428115001,384.58
20240428120001,384.46
20240428121001,384.36
20240428122001,384.28
20240428123001,384.23
20240428124001,384.19
20240428125001,384.16
20240428130001,384.13
20240428131001,384.1
20240428132001,384.08
20240428133001,384.07
20240428134001,384.07
20240428135001,384.07
20240428140001,384.07
20240428141001,384.07
20240428142001,384.07
20240428143001,384.07
20240428144001,384.07
20240428145001,384.07
20240428150001,384.07
20240428151001,384.07
20240428152001,384.07
20240428153001,384.07
20240428154001,384.07
20240428155001,384.07
20240428160001,384.07
20240428161001,384.07
20240428162001,384.07
20240428163001,384.07
20240428164001,384.07
20240428165001,384.07
20240430090001,714.69
20240430091001,262.25
20240430092001,242.5
20240430093001,289.72
20240430094001,321.82
20240430095001,349.93
20240430100001,366.29
20240430101001,374.18
20240430102001,375.62
20240430103001,374.82
20240430104001,374.06
20240430105001,375.14
20240430110001,378.95
20240430111001,382.24
20240430112001,383.93
20240430113001,384.55
20240430114001,384.66
20240430115001,384.58
20240430120001,384.46
20240430121001,384.36
20240430122001,384.28
20240430123001,384.23
20240430124001,384.19
20240430125001,384.16
20240430130001,384.13
20240430131001,384.1
20240430132001,384.08
20240430133001,384.07
20240430134001,384.07
20240430135001,384.07
20240430140001,384.07
20240430141001,384.07
20240430142001,384.07
20240430143001,384.07
20240430144001,384.07
20240430145001,384.07
20240430150001,384.07
20240430151001,384.07
20240430152001,384.07
20240430153001,384.07
20240430154001,384.07
20240430155001,384.07
20240430160001,384.07
20240430161001,384.07
20240430162001,384.07
20240430163001,384.07
20240430164001,384.07
20240430165001,384.07
20240515090001,712.61
20240515091001,261.25
20240515092001,243.31
20240515093001,289.02
20240515094001,320.43
20240515095001,350.0
20240515100001,366.4
20240515101001,374.15
20240515102001,375.53
20240515103001,374.74
20240515104001,374.0
20240515105001,375.14
20240515110001,378.95
20240515111001,382.24
20240515112001,383.93
20240515113001,384.55
20240515114001,384.66
20240515115001,384.58
20240515120001,384.46
20240515121001,384.36
20240515122001,384.28
20240515123001,384.23
20240515124001,384.19
20240515125001,384.16
20240515130001,384.13
20240515131001,384.1
20240515132001,384.08
20240515133001,384.07
20240515134001,384.07
20240515135001,384.07
20240515140001,384.07
20240515141001,384.07
20240515142001,384.07
20240515143001,384.07
20240515144001,384.07
20240515145001,384.07
20240515150001,384.07
20240515151001,384.07
20240515152001,384.07
20240515153001,384.07
20240515154001,384.07
20240515155001,384.07
20240515160001,384.07
20240515161001,384.07
20240515162001,384.07
20240515163001,384.07
20240515164001,384.07
20240515165001,384.07
20240520090001,416.57
20240520091001,192.43
20240520092001,228.82
20240520093001,274.73
20240520094001,311.11
20240520095001,342.99
20240520100001,362.95
20240520101001,372.64
20240520102001,374.87
20240520103001,374.54
20240520104001,373.78
20240520105001,375.15
20240520110001,378.95
20240520111001,382.24
20240520112001,383.93
20240520113001,384.55
20240520114001,384.66
20240520115001,384.58
20240520120001,384.46
20240520121001,384.36
20240520122001,384.28
20240520123001,384.23
20240520124001,384.19
20240520125001,384.16
20240520130001,384.13
20240520131001,384.1
20240520132001,384.08
20240520133001,384.07
20240520134001,384.07
20240520135001,384.07
20240520140001,384.07
20240520141001,384.07
20240520142001,384.07
20240520143001,384.07
20240520144001,384.07
20240520145001,384.07
20240520150001,384.07
20240520151001,384.07
20240520152001,384.07
20240520153001,384.07
20240520154001,384.07
20240520155001,384.07
20240520160001,384.07
20240520161001,384.07
20240520162001,384.07
20240520163001,384.07
20240520164001,384.07
20240520165001,384.07
20240613090001,51.05
20240613091001,344.15
20240613092001,268.0
20240613093001,293.91
20240613094001,334.61
20240613095001,357.87
20240613100001,372.84
20240613101001,379.57
20240613102001,379.7
20240613103001,377.41
20240613104001,375.3
20240613105001,375.89
20240613110001,378.95
20240613111001,382.24
20240613112001,383.93
20240613113001,384.55
20240613114001,384.66
20240613115001,384.58
20240613120001,384.46
20240613121001,384.36
20240613122001,384.28
20240613123001,384.23
20240613124001,384.19
20240613125001,384.16
20240613130001,384.13
20240613131001,384.1
20240613132001,384.08
20240613133001,384.07
20240613134001,384.07
20240613135001,384.07
20240613140001,384.07
20240613141001,384.07
20240613142001,384.07
20240613143001,384.07
20240613144001,384.07
20240613145001,384.07
20240613150001,384.07
20240613151001,384.07
20240613152001,384.07
20240613153001,384.07
20240613154001,384.07
20240613155001,384.07
20240613160001,384.07
20240613161001,384.07
20240613162001,384.07
20240613163001,384.07
20240613164001,384.07
20240613165001,384.07
20240615090001,406.0
20240615091001,188.26
20240615092001,228.78
20240615093001,276.35
20240615094001,313.78
20240615095001,344.97
20240615100001,363.55
20240615101001,372.76
20240615102001,374.89
20240615103001,374.48
20240615104001,373.76
20240615105001,375.14
20240615110001,378.95
20240615111001,382.24
20240615112001,383.93
20240615113001,384.55
20240615114001,384.66
20240615115001,384.58
20240615120001,384.46
20240615121001,384.36
20240615122001,384.28
20240615123001,384.23
20240615124001,384.19
20240615125001,384.16
20240615130001,384.13
20240615131001,384.1
20240615132001,384.08
20240615133001,384.07
20240615134001,384.07
20240615135001,384.07
20240615140001,384.07
20240615141001,384.07
20240615142001,384.07
20240615143001,384.07
20240615144001,384.07
20240615145001,384.07
20240615150001,384.07
20240615151001,384.07
20240615152001,384.07
20240615153001,384.07
20240615154001,384.07
20240615155001,384.07
20240615160001,384.07
20240615161001,384.07
20240615162001,384.07
20240615163001,384.07
20240615164001,384.07
20240615165001,384.07
20240703090001,563.68
20240703091001,236.77
20240703092001,226.87
20240703093001,275.55
20240703094001,311.3
20240703095001,342.53
20240703100001,361.24
20240703101001,370.53
20240703102001,372.96
20240703103001,373.18
20240703104001,373.8
20240703105001,375.15
20240703110001,378.95
20240703111001,382.24
20240703112001,383.93
20240703113001,384.55
20240703114001,384.66
20240703115001,384.58
20240703120001,384.46
20240703121001,384.36
20240703122001,384.28
20240703123001,384.23
20240703124001,384.19
20240703125001,384.16
20240703130001,384.13
20240703131001,384.1
20240703132001,384.08
20240703133001,384.07
20240703134001,384.07
20240703135001,384.07
20240703140001,384.07
20240703141001,384.07
20240703142001,384.07
20240703143001,384.07
20240703144001,384.07
20240703145001,384.07
20240703150001,384.07
20240703151001,384.07
20240703152001,384.07
20240703153001,384.07
20240703154001,384.07
20240703155001,384.07
20240703160001,384.07
20240703161001,384.07
20240703162001,384.07
20240703163001,384.07
20240703164001,384.07
20240703165001,384.07
20240707090001,557.19
20240707091001,220.18
20240707092001,230.55
20240707093001,279.76
20240707094001,315.52
20240707095001,346.33
20240707100001,364.7
20240707101001,373.65
20240707102001,375.48
20240707103001,374.79
20240707104001,373.9
20240707105001,375.16
20240707110001,378.95
20240707111001,382.24
20240707112001,383.93
20240707113001,384.55
20240707114001,384.66
20240707115001,384.58
20240707120001,384.46
20240707121001,384.36
20240707122001,384.28
20240707123001,384.23
20240707124001,384.19
20240707125001,384.16
20240707130001,384.13
20240707131001,384.1
20240707132001,384.08
20240707133001,384.07
20240707134001,384.07
20240707135001,384.07
20240707140001,384.07
20240707141001,384.07
20240707142001,384.07
20240707143001,384.07
20240707144001,384.07
20240707145001,384.07
20240707150001,384.07
20240707151001,384.07
20240707152001,384.07
20240707153001,384.07
20240707154001,384.07
20240707155001,384.07
20240707160001,384.07
20240707161001,384.07
20240707162001,384.07
20240707163001,384.07
20240707164001,384.07
20240707165001,384.07
20240125090002,12.02
20240125091002,390.65
20240125092002,288.35
20240125093002,311.45
20240125094002,356.26
20240125095002,387.69
20240125100002,406.06
20240125101002,408.01
20240125102002,396.15
20240125103002,387.4
20240125104002,381.13
20240125105002,378.29
20240125110002,378.95
20240125111002,382.24
20240125112002,383.93
20240125113002,384.55
20240125114002,384.66
20240125115002,384.58
20240125120002,384.46
20240125121002,384.36
20240125122002,384.28
20240125123002,384.23
20240125124002,384.19
20240125125002,384.16
20240125130002,384.13
20240125131002,384.1
20240125132002,384.08
20240125133002,384.07
20240125134002,384.07
20240125135002,384.07
20240125140002,384.07
20240125141002,384.07
20240125142002,384.07
20240125143002,384.07
20240125144002,384.07
20240125145002,384.07
20240125150002,384.07
20240125151002,384.07
20240125152002,384.07
20240125153002,384.07
20240125154002,384.07
20240125155002,384.07
20240125160002,384.07
20240125161002,384.07
20240125162002,384.07
20240125163002,384.07
20240125164002,384.07
20240125165002,384.07
20240128090002,8.17
20240128091002,399.78
20240128092002,285.94
20240128093002,309.17
20240128094002,356.6
20240128095002,378.58
20240128100002,405.13
20240128101002,421.52
20240128102002,414.37
20240128103002,393.72
20240128104002,384.88
20240128105002,381.14
20240128110002,378.95
20240128111002,382.24
20240128112002,383.93
20240128113002,384.55
20240128114002,384.66
20240128115002,384.58
20240128120002,384.46
20240128121002,384.36
20240128122002,384.28
20240128123002,384.23
20240128124002,384.19
20240128125002,384.16
20240128130002,384.13
20240128131002,384.1
20240128132002,384.08
20240128133002,384.07
20240128134002,384.07
20240128135002,384.07
20240128140002,384.07
20240128141002,384.07
20240128142002,384.07
20240128143002,384.07
20240128144002,384.07
20240128145002,384.07
20240128150002,384.07
20240128151002,384.07
20240128152002,384.07
20240128153002,384.07
20240128154002,384.07
20240128155002,384.07
20240128160002,384.07
20240128161002,384.07
20240128162002,384.07
20240128163002,384.07
20240128164002,384.07
20240128165002,384.07
20240213090002,660.04
20240213091002,251.61
20240213092002,231.62
20240213093002,280.61
20240213094002,315.61
20240213095002,346.43
20240213100002,364.63
20240213101002,373.16
20240213102002,375.17
20240213103002,374.99
20240213104002,374.29
20240213105002,375.14
20240213110002,378.95
20240213111002,382.24
20240213112002,383.93
20240213113002,384.55
20240213114002,384.66
20240213115002,384.58
20240213120002,384.46
20240213121002,384.36
20240213122002,384.28
20240213123002,384.23
20240213124002,384.19
20240213125002,384.16
20240213130002,384.13
20240213131002,384.1
20240213132002,384.08
20240213133002,384.07
20240213134002,384.07
20240213135002,384.07
20240213140002,384.07
20240213141002,384.07
20240213142002,384.07
20240213143002,384.07
20240213144002,384.07
20240213145002,384.07
20240213150002,384.07
20240213151002,384.07
20240213152002,384.07
20240213153002,384.07
20240213154002,384.07
20240213155002,384.07
20240213160002,384.07
20240213161002,384.07
20240213162002,384.07
20240213163002,384.07
20240213164002,384.07
20240213165002,384.07
20240226090002,91.0
20240226091002,323.24
20240226092002,294.56
20240226093002,308.71
20240226094002,331.73
20240226095002,355.17
20240226100002,370.36
20240226101002,377.55
20240226102002,377.6
20240226103002,375.24
20240226104002,372.9
20240226105002,374.29
20240226110002,378.95
20240226111002,382.24
20240226112002,383.93
20240226113002,384.55
20240226114002,384.66
20240226115002,384.58
20240226120002,384.46
20240226121002,384.36
20240226122002,384.28
20240226123002,384.23
20240226124002,384.19
20240226125002,384.16
20240226130002,384.13
20240226131002,384.1
20240226132002,384.08
20240226133002,384.07
20240226134002,384.07
20240226135002,384.07
20240226140002,384.07
20240226141002,384.07
20240226142002,384.07
20240226143002,384.07
20240226144002,384.07
20240226145002,384.07
20240226150002,384.07
20240226151002,384.07
20240226152002,384.07
20240226153002,384.07
20240226154002,384.07
20240226155002,384.07
20240226160002,384.07
20240226161002,384.07
20240226162002,384.07
20240226163002,384.07
20240226164002,384.07
20240226165002,384.07
20240319090002,14.06
20240319091002,419.1
20240319092002,302.55
20240319093002,316.97
20240319094002,365.35
20240319095002,400.78
20240319100002,424.72
20240319101002,432.57
20240319102002,416.76
20240319103002,393.54
20240319104002,384.78
20240319105002,380.66
20240319110002,378.95
20240319111002,382.24
20240319112002,383.93
20240319113002,384.55
20240319114002,384.66
20240319115002,384.58
20240319120002,384.46
20240319121002,384.36
20240319122002,384.28
20240319123002,384.23
20240319124002,384.19
20240319125002,384.16
20240319130002,384.13
20240319131002,384.1
20240319132002,384.08
20240319133002,384.07
20240319134002,384.07
20240319135002,384.07
20240319140002,384.07
20240319141002,384.07
20240319142002,384.07
20240319143002,384.07
20240319144002,384.07
20240319145002,384.07
20240319150002,384.07
20240319151002,384.07
20240319152002,384.07
20240319153002,384.07
20240319154002,384.07
20240319155002,384.07
20240319160002,384.07
20240319161002,384.07
20240319162002,384.07
20240319163002,384.07
20240319164002,384.07
20240319165002,384.07
20240427090002,242.8
20240427091002,242.07
20240427092002,254.8
20240427093002,286.16
20240427094002,320.4
20240427095002,350.43
20240427100002,364.61
20240427101002,371.69
20240427102002,373.05
20240427103002,372.19
20240427104002,372.07
20240427105002,374.73
20240427110002,378.95
20240427111002,382.24
20240427112002,383.93
20240427113002,384.55
20240427114002,384.66
20240427115002,384.58
20240427120002,384.46
20240427121002,384.36
20240427122002,384.28
20240427123002,384.23
20240427124002,384.19
20240427125002,384.16
20240427130002,384.13
20240427131002,384.1
20240427132002,384.08
20240427133002,384.07
20240427134002,384.07
20240427135002,384.07
20240427140002,384.07
20240427141002,384.07
20240427142002,384.07
20240427143002,384.07
20240427144002,384.07
20240427145002,384.07
20240427150002,384.07
20240427151002,384.07
20240427152002,384.07
20240427153002,384.07
20240427154002,384.07
20240427155002,384.07
20240427160002,384.07
20240427161002,384.07
20240427162002,384.07
20240427163002,384.07
20240427164002,384.07
20240427165002,384.07
20240508090002,228.5
20240508091002,180.52
20240508092002,229.21
20240508093002,272.95
20240508094002,310.18
20240508095002,341.29
20240508100002,360.48
20240508101002,370.38
20240508102002,373.21
20240508103002,373.4
20240508104002,373.38
20240508105002,375.01
20240508110002,378.95
20240508111002,382.24
20240508112002,383.93
20240508113002,384.55
20240508114002,384.66
20240508115002,384.58
20240508120002,384.46
20240508121002,384.36
20240508122002,384.28
20240508123002,384.23
20240508124002,384.19
20240508125002,384.16
20240508130002,384.13
20240508131002,384.1
20240508132002,384.08
20240508133002,384.07
20240508134002,384.07
20240508135002,384.07
20240508140002,384.07
20240508141002,384.07
20240508142002,384.07
20240508143002,384.07
20240508144002,384.07
20240508145002,384.07
20240508150002,384.07
20240508151002,384.07
20240508152002,384.07
20240508153002,384.07
20240508154002,384.07
20240508155002,384.07
20240508160002,384.07
20240508161002,384.07
20240508162002,384.07
20240508163002,384.07
20240508164002,384.07
20240508165002,384.07
20240705090002,543.52
20240705091002,217.27
20240705092002,229.9
20240705093002,279.21
20240705094002,315.17
20240705095002,346.06
20240705100002,364.48
20240705101002,373.53
20240705102002,375.45
20240705103002,374.78
20240705104002,373.89
20240705105002,375.16
20240705110002,378.95
20240705111002,382.24
20240705112002,383.93
20240705113002,384.55
20240705114002,384.66
20240705115002,384.58
20240705120002,384.46
20240705121002,384.36
20240705122002,384.28
20240705123002,384.23
20240705124002,384.19
20240705125002,384.16
20240705130002,384.13
20240705131002,384.1
20240705132002,384.08
20240705133002,384.07
20240705134002,384.07
20240705135002,384.07
20240705140002,384.07
20240705141002,384.07
20240705142002,384.07
20240705143002,384.07
20240705144002,384.07
20240705145002,384.07
20240705150002,384.07
20240705151002,384.07
20240705152002,384.07
20240705153002,384.07
20240705154002,384.07
20240705155002,384.07
20240705160002,384.07
20240705161002,384.07
20240705162002,384.07
20240705163002,384.07
20240705164002,384.07
20240705165002,384.07
20240707090002,530.59
20240707091002,214.12
20240707092002,229.39
20240707093002,278.79
20240707094002,314.94
20240707095002,345.88
20240707100002,364.33
20240707101002,373.41
20240707102002,375.39
20240707103002,374.77
20240707104002,373.88
20240707105002,375.16
20240707110002,378.95
20240707111002,382.24
20240707112002,383.93
20240707113002,384.55
20240707114002,384.66
20240707115002,384.58
20240707120002,384.46
20240707121002,384.36
20240707122002,384.28
20240707123002,384.23
20240707124002,384.19
20240707125002,384.16
20240707130002,384.13
20240707131002,384.1
20240707132002,384.08
20240707133002,384.07
20240707134002,384.07
20240707135002,384.07
20240707140002,384.07
20240707141002,384.07
20240707142002,384.07
20240707143002,384.07
20240707144002,384.07
20240707145002,384.07
20240707150002,384.07
20240707151002,384.07
20240707152002,384.07
20240707153002,384.07
20240707154002,384.07
20240707155002,384.07
20240707160002,384.07
20240707161002,384.07
20240707162002,384.07
20240707163002,384.07
20240707164002,384.07
20240707165002,384.07
20240317090003,859.33
20240317091003,305.99
20240317092003,256.59
20240317093003,300.46
20240317094003,328.09
20240317095003,352.57
20240317100003,367.82
20240317101003,375.3
20240317102003,375.73
20240317103003,374.8
20240317104003,374.2
20240317105003,375.11
20240317110003,378.95
20240317111003,382.24
20240317112003,383.93
20240317113003,384.55
20240317114003,384.66
20240317115003,384.58
20240317120003,384.46
20240317121003,384.36
20240317122003,384.28
20240317123003,384.23
20240317124003,384.19
20240317125003,384.16
20240317130003,384.13
20240317131003,384.1
20240317132003,384.08
20240317133003,384.07
20240317134003,384.07
20240317135003,384.07
20240317140003,384.07
20240317141003,384.07
20240317142003,384.07
20240317143003,384.07
20240317144003,384.07
20240317145003,384.07
20240317150003,384.07
20240317151003,384.07
20240317152003,384.07
20240317153003,384.07
20240317154003,384.07
20240317155003,384.07
20240317160003,384.07
20240317161003,384.07
20240317162003,384.07
20240317163003,384.07
20240317164003,384.07
20240317165003,384.07
20240414090003,692.59
20240414091003,256.62
20240414092003,237.59
20240414093003,285.26
20240414094003,318.99
20240414095003,348.69
20240414100003,366.03
20240414101003,374.18
20240414102003,375.65
20240414103003,374.92
20240414104003,374.07
20240414105003,375.14
20240414110003,378.95
20240414111003,382.24
20240414112003,383.93
20240414113003,384.55
20240414114003,384.66
20240414115003,384.58
20240414120003,384.46
20240414121003,384.36
20240414122003,384.28
20240414123003,384.23
20240414124003,384.19
20240414125003,384.16
20240414130003,384.13
20240414131003,384.1
20240414132003,384.08
20240414133003,384.07
20240414134003,384.07
20240414135003,384.07
20240414140003,384.07
20240414141003,384.07
20240414142003,384.07
20240414143003,384.07
20240414144003,384.07
20240414145003,384.07
20240414150003,384.07
20240414151003,384.07
20240414152003,384.07
20240414153003,384.07
20240414154003,384.07
20240414155003,384.07
20240414160003,384.07
20240414161003,384.07
20240414162003,384.07
20240414163003,384.07
20240414164003,384.07
20240414165003,384.07
20240524090003,72.29
20240524091003,193.87
20240524092003,226.71
20240524093003,268.98
20240524094003,311.2
20240524095003,342.64
20240524100003,361.47
20240524101003,370.65
20240524102003,372.94
20240524103003,372.58
20240524104003,371.87
20240524105003,374.24
20240524110003,378.95
20240524111003,382.24
20240524112003,383.93
20240524113003,384.55
20240524114003,384.66
20240524115003,384.58
20240524120003,384.46
20240524121003,384.36
20240524122003,384.28
20240524123003,384.23
20240524124003,384.19
20240524125003,384.16
20240524130003,384.13
20240524131003,384.1
20240524132003,384.08
20240524133003,384.07
20240524134003,384.07
20240524135003,384.07
20240524140003,384.07
20240524141003,384.07
20240524142003,384.07
20240524143003,384.07
20240524144003,384.07
20240524145003,384.07
20240524150003,384.07
20240524151003,384.07
20240524152003,384.07
20240524153003,384.07
20240524154003,384.07
20240524155003,384.07
20240524160003,384.07
20240524161003,384.07
20240524162003,384.07
20240524163003,384.07
20240524164003,384.07
20240524165003,384.07
20240526090003,81.55
20240526091003,190.39
20240526092003,227.39
20240526093003,273.42
20240526094003,315.16
20240526095003,343.16
20240526100003,361.18
20240526101003,370.36
20240526102003,372.53
20240526103003,372.45
20240526104003,371.79
20240526105003,374.29
20240526110003,378.95
20240526111003,382.24
20240526112003,383.93
20240526113003,384.55
20240526114003,384.66
20240526115003,384.58
20240526120003,384.46
20240526121003,384.36
20240526122003,384.28
20240526123003,384.23
20240526124003,384.19
20240526125003,384.16
20240526130003,384.13
20240526131003,384.1
20240526132003,384.08
20240526133003,384.07
20240526134003,384.07
20240526135003,384.07
20240526140003,384.07
20240526141003,384.07
20240526142003,384.07
20240526143003,384.07
20240526144003,384.07
20240526145003,384.07
20240526150003,384.07
20240526151003,384.07
20240526152003,384.07
20240526153003,384.07
20240526154003,384.07
20240526155003,384.07
20240526160003,384.07
20240526161003,384.07
20240526162003,384.07
20240526163003,384.07
20240526164003,384.07
20240526165003,384.07
20240603090003,118.4
20240603091003,305.73
20240603092003,261.01
20240603093003,284.43
20240603094003,322.1
20240603095003,349.72
20240603100003,366.97
20240603101003,374.81
20240603102003,375.92
20240603103003,374.58
20240603104003,372.82
20240603105003,374.28
20240603110003,378.95
20240603111003,382.24
20240603112003,383.93
20240603113003,384.55
20240603114003,384.66
20240603115003,384.58
20240603120003,384.46
20240603121003,384.36
20240603122003,384.28
20240603123003,384.23
20240603124003,384.19
20240603125003,384.16
20240603130003,384.13
20240603131003,384.1
20240603132003,384.08
20240603133003,384.07
20240603134003,384.07
20240603135003,384.07
20240603140003,384.07
20240603141003,384.07
20240603142003,384.07
20240603143003,384.07
20240603144003,384.07
20240603145003,384.07
20240603150003,384.07
20240603151003,384.07
20240603152003,384.07
20240603153003,384.07
20240603154003,384.07
20240603155003,384.07
20240603160003,384.07
20240603161003,384.07
20240603162003,384.07
20240603163003,384.07
20240603164003,384.07
20240603165003,384.07
20240620090003,829.67
20240620091003,272.04
20240620092003,235.05
20240620093003,283.25
20240620094003,316.49
20240620095003,346.75
20240620100003,364.99
20240620101003,374.2
20240620102003,376.18
20240620103003,375.15
20240620104003,374.24
20240620105003,375.12
20240620110003,378.95
20240620111003,382.24
20240620112003,383.93
20240620113003,384.55
20240620114003,384.66
20240620115003,384.58
20240620120003,384.46
20240620121003,384.36
20240620122003,384.28
20240620123003,384.23
20240620124003,384.19
20240620125003,384.16
20240620130003,384.13
20240620131003,384.1
20240620132003,384.08
20240620133003,384.07
20240620134003,384.07
20240620135003,384.07
20240620140003,384.07
20240620141003,384.07
20240620142003,384.07
20240620143003,384.07
20240620144003,384.07
20240620145003,384.07
20240620150003,384.07
20240620151003,384.07
20240620152003,384.07
20240620153003,384.07
20240620154003,384.07
20240620155003,384.07
20240620160003,384.07
20240620161003,384.07
20240620162003,384.07
20240620163003,384.07
20240620164003,384.07
20240620165003,384.07
20240420090004,495.82
20240420091004,206.7
20240420092004,232.36
20240420093004,279.93
20240420094004,314.47
20240420095004,345.06
