Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240905075008,0,999.92,29.37,100,6171.83,9.14
20240905080008,0,1000.06,30.14,100,9327.16,21.15
20240905081008,0,1000.05,30.84,100,11022,31.31
20240905082008,0,1000.07,30.74,100,8351.83,17.04
20240905083008,0,1000.04,30.49,100,8989.42,17.79
20240905084008,0,1000.07,30.94,100,11103.25,27.22
20240905085008,0,1000.06,31.17,100,11905.75,32.11
20240906070008,0,1002.63,28.48,100,2715.5,1.53
20240906071008,0,1002.78,28.71,100,2993.42,1.94
20240906072008,0,1002.93,28.75,100,3226,2.32
20240906073008,0,1003.06,28.99,100,3426.33,2.81
20240906074008,0,1003.1,29.19,100,3607.96,3.23
20240906075008,0,1003.14,29.66,100,3810,3.78
20240906080008,0,1003.35,30.04,100,3985.17,4.38
20240906081008,0,1003.49,30.27,100,4151.08,4.77
20240906082008,0,1003.56,30.57,100,4273.67,5.31
20240906083008,0,1003.67,30.91,100,4373.67,5.5
20240906084008,0,1003.63,31.25,100,4453.42,5.9
20240906085008,0,1003.64,31.67,99.91,4538.58,6.08
20240917070008,0,1003.8,27.3,100,2642.17,1.56
20240917071008,0,1003.82,27.48,100,2879,1.94
20240917072008,0,1003.92,27.91,100,3084.83,2.28
20240917073008,0,1003.97,27.91,100,3271.75,2.68
20240917074008,0,1004.09,28.06,100,3448.75,3.14
20240917075008,0,1004.13,28.36,100,3616.75,3.66
20240917080008,0,1004.11,28.69,100,3755.67,4.13
20240917081008,0,1004.1,29.07,100,3868.33,4.44
20240917082008,0,1004.11,29.51,100,3969.75,4.87
20240917083008,0,1004.1,29.99,100,4076.92,5.23
20240917084008,0,1004.14,30.23,100,4174,5.6
20240917085008,0,1004.1,30.5,100,4226.75,5.83
20240918070008,0,1000.9,27.47,100,1925.17,1
20240918071008,0,1000.9,27.33,100,2595.75,1.75
20240918072008,0,1001.1,27.78,100,2621.33,1.75
20240918073008,0,1001.11,28.31,100,2875.58,2.04
20240918074008,0,1000.95,28.79,100,3729.25,3.28
20240918075008,0,1001.04,29.1,100,3310.25,2.76
20240918080008,0,1001.15,29.27,100,2300.42,1.38
20240918081008,0,1001.24,29.22,100,2336.75,1.32
20240918082008,0,1001.28,29,100,2281.83,1.17
20240918083008,0,1001.25,28.94,100,1659.75,0.62
20240918084008,0,1001.44,29,100,1420.42,0.39
20240918085008,0,1001.57,28.94,100,1283.08,0.3
20240921070008,0,999.17,28.04,100,4416.67,4.53
20240921071008,0,999.35,27.93,100,5346.42,6.69
20240921072008,0,999.58,28.38,100,6036.17,8.57
20240921073008,0,999.69,28.32,100,6529.08,10.03
20240921074008,0,999.88,28.6,100,6867.08,11.06
20240921075008,0,1000.1,28.9,100,7022.67,11.73
20240921080008,0,1000.17,29.08,100,7847.5,14.59
20240921081008,0,1000.15,29.32,100,8946.33,18.77
20240921082008,0,1000.36,30.02,100,10018.75,23.84
20240921083008,0,1000.6,30.16,100,11384.08,30.09
20240921084008,0,1000.95,30.47,100,11459.44,30.11
20240921085008,0,1000.96,31.22,100,12236.94,34.8
20240922070008,0,1001.8,30.3,100,3700.83,3.46
20240922071008,0,1001.95,30.39,100,4005.08,4.03
20240922072008,0,1002.06,30.75,100,4674.92,5.4
20240922073008,0,1002.16,31.24,100,5678,7.87
20240922074008,0,1002.18,31.64,100,6739.92,11.16
20240922075008,0,1002.31,32.17,100,8382.83,17.13
20240922080008,0,1002.35,32.45,100,9507.33,21.47
20240922081008,0,1002.46,32.51,100,10434.58,25.87
20240922082008,0,1002.67,32.98,99.46,11187.08,29.4
20240922083008,0,1002.86,33.72,95.26,11618.33,31.68
20240922084008,0,1002.86,34.03,91.19,11895.42,33.22
20240922085008,0,1002.8,34.02,89.65,12184.44,34.9
20240923070008,0,1008.45,28.31,100,5631.17,7.72
20240923071008,0,1008.62,28.44,100,6269.5,9.49
20240923072008,0,1008.74,28.69,100,6756.58,11.23
20240923073008,0,1008.79,29.07,100,6746.92,11.62
20240923074008,0,1008.91,29.24,100,6444.58,10.59
20240923075008,0,1008.92,29.48,100,7092.92,12.95
20240923080008,0,1008.95,29.68,100,6833.92,11.3
20240923081008,0,1009.07,29.97,100,9919.44,23.93
20240923082008,0,1009.13,30.53,100,12571.25,39.26
20240923083008,0,1009.19,30.99,100,11413.5,33.35
20240923084008,0,1009.32,31.55,100,11322.04,32.33
20240923085008,0,1009.25,32.19,100,13435.83,42.18
20240926070008,0,1005.77,30.32,100,2693.08,1.84
20240926071008,0,1006.02,30.48,100,3219.17,2.54
20240926072008,0,1006.22,30.53,100,3599.58,3.19
20240926073008,0,1006.28,30.17,100,4787.58,5.41
20240926074008,0,1006.25,30.23,100,5123.08,6.07
20240926075008,0,1006.39,30.42,100,3913.67,3.55
20240926080008,0,1006.44,30.48,100,3776.67,3.35
20240926081008,0,1006.34,30.93,100,4041.42,4.06
20240926082008,0,1006.38,31.1,100,3806.58,3.74
20240926083008,0,1006.49,31.15,100,3193.83,2.61
20240926084008,0,1006.47,31.32,100,4953.42,6.16
20240926085008,0,1006.42,31.82,100,7711.33,13.46
20240927070008,0,1005.5,27.81,100,3958.42,3.86
20240927071008,0,1005.55,27.94,100,4549.67,5.12
20240927072008,0,1005.6,28.18,100,4937.75,5.9
20240927073008,0,1005.62,28.49,100,6234.25,9.64
20240927074008,0,1005.59,28.94,100,7717.25,14.78
20240927075008,0,1005.67,29.1,100,10003.25,26.11
20240927080008,0,1005.71,29.54,100,10988.42,31.63
20240927081008,0,1005.72,29.85,100,10518.61,27.57
20240927082008,0,1005.64,30.39,100,12811.92,43.98
20240927083008,0,1005.54,31,100,12801.92,42.76
20240927084008,0,1005.5,31.78,100,14899.08,56.72
20240927085008,0,1005.5,32.28,100,15285.92,57.83
20240928070008,0,1004.73,26.51,100,1739.58,0.82
20240928071008,0,1004.88,26.51,100,2811.17,2.22
20240928072008,0,1005.04,26.87,100,3016.75,2.45
20240928073008,0,1005.16,27.07,100,5021.08,6.59
20240928074008,0,1005.26,27.97,100,6080,9.34
20240928075008,0,1005.39,28.32,100,6338,10.49
20240928080008,0,1005.63,28.98,100,6866,12.3
20240928081008,0,1005.51,28.62,100,6002.83,9.28
20240928082008,0,1005.46,28.99,100,8819,21.11
20240928083008,0,1005.5,29.31,100,10795.92,27.82
20240928084008,0,1005.5,29.6,100,10764.75,29.7
20240928085008,0,1005.4,29.57,100,10759.75,27.92
20240929070008,0,1003.84,27.67,100,3305.83,2.91
20240929071008,0,1004.02,27.83,100,4083.5,4.17
20240929072008,0,1004.29,28.31,100,4572.08,5.21
20240929073008,0,1004.51,28.33,100,6571.58,10.93
20240929074008,0,1004.77,29.13,100,9406.75,20.6
20240929075008,0,1004.81,29.81,100,8777.5,18.5
20240929080008,0,1004.91,29.98,100,9039.83,19.29
20240929081008,0,1005.17,30.1,100,8215.08,16.09
20240929082008,0,1005.25,30.07,100,8044.17,15.74
20240929083008,0,1005.12,30.32,100,10184.33,24.58
20240929084008,0,1005.11,30.88,100,9474,22.12
20240929085008,0,1005.04,30.72,100,13989.5,50.09
20240930070008,0,1003.95,25.29,100,163.67,0
20240930071008,0,1004.19,25.32,100,186.75,0.01
20240930072008,0,1004.26,25.48,100,342.83,0.02
20240930073008,0,1004.2,25.53,100,530.5,0.04
20240930074008,0,1004.4,25.49,100,949.75,0.16
20240930075008,0,1004.4,25.66,100,1885.5,0.74
20240930080008,0,1004.01,25.84,100,2784.5,1.92
20240930081008,0,1003.72,25.84,100,5440.5,6.68
20240930082008,0,1003.62,26.35,100,6502.08,9.86
20240930083008,0,1003.52,26.65,100,5006.25,6.53
20240930084008,0,1003.11,26.62,100,5585.58,7.22
20240930085008,0,1003.2,26.13,100,4249.5,3.96
20241009070008,0,1009.41,26.85,100,4165.93,4.78
20241009071008,0,1009.38,26.93,100,5520,8.46
20241009072008,0,1009.29,27.59,100,7042.59,14.08
20241009073008,0,1009.27,28.51,100,8337,19.09
20241009074008,0,1009.27,29.4,100,8789.08,20.82
20241009075008,0,1009.24,30.05,100,8157,17.57
20241009080008,0,1009.33,29.91,100,7990.58,15.74
20241009081008,0,1009.43,29.49,100,8197.96,15.86
20241009082008,0,1009.52,29.94,100,9243.96,20.77
20241009083008,0,1009.61,30.29,100,10222.87,24.69
20241009084008,0,1009.64,30.53,100,13404.5,43.79
20241009085008,0,1009.78,31.86,100,14788.45,54.47
20241010070008,0,1009.38,26.07,100,1808.83,0.81
20241010071008,0,1009.47,26.44,100,2286.92,1.28
20241010072008,0,1009.63,26.71,100,3029.67,2.21
20241010073008,0,1009.77,27.02,100,3402.67,2.85
20241010074008,0,1009.9,27.29,100,4240.33,4.3
20241010075008,0,1009.96,27.6,100,5516.17,7.81
20241010080008,0,1009.95,28.09,100,7714.25,13.99
20241010081008,0,1009.97,28.53,100,8783.25,17.75
20241010082008,0,1010.02,28.94,100,10747.25,26.37
20241010083008,0,1009.98,29.38,100,10706.83,26.8
20241010084008,0,1010,29.72,100,11849.42,33.27
20241010085008,0,1009.97,30.28,100,12494.67,36.29
20241011070008,0,1010.44,25.07,100,3020.84,2.11
20241011071008,0,1010.48,24.48,100,3710.17,2.92
20241011072008,0,1010.6,24.42,100,4338.33,4.1
20241011073008,0,1010.62,25.16,100,4866.25,5.28
20241011074008,0,1010.64,25.71,100,5277.83,6.38
20241011075008,0,1010.63,26.49,100,8531.42,17.74
20241011080008,0,1010.66,27.02,100,6460.83,9.7
20241011081008,0,1010.66,26.88,100,8110.67,15.83
20241011082008,0,1010.75,26.98,100,8138.5,14.68
20241011083008,0,1010.79,27.23,100,7661.67,12.9
20241011084008,0,1010.89,27.78,100,8618.58,18.85
20241011085008,0,1010.86,28.77,100,14652.33,53.94
20241012070008,0,1012.35,24.58,100,3873.25,3.47
20241012071008,0,1012.39,24.93,100,4515.08,4.79
20241012072008,0,1012.45,25.01,100,5091.08,5.94
20241012073008,0,1012.52,25.31,100,5569.67,7.17
20241012074008,0,1012.66,25.53,100,6432,9.38
20241012075008,0,1012.73,25.51,100,6942.75,11.25
20241012080008,0,1012.8,25.72,100,7409.33,13.1
20241012081008,0,1012.77,25.88,100,9308.08,20.38
20241012082008,0,1012.89,26.19,100,9838.92,22.43
20241012083008,0,1012.9,26.53,100,9897.92,22.39
20241012084008,0,1012.95,26.93,100,11376.33,29.9
20241012085008,0,1012.94,27.69,100,12818.92,37.33
20241013070008,0,1011.69,25.17,100,2678.67,1.51
20241013071008,0,1011.72,25.61,100,2539.83,1.32
20241013072008,0,1011.85,25.85,100,2790.33,1.69
20241013073008,0,1012.02,26.09,100,2977.67,1.78
20241013074008,0,1012.14,26.45,100,3408.08,2.22
20241013075008,0,1012.18,26.7,100,4306.75,3.97
20241013080008,0,1012.16,26.96,100,3772.17,2.78
20241013081008,0,1012.1,27.04,100,4048.25,3.85
20241013082008,0,1012.1,27.01,100,3692.84,2.55
20241013083008,0,1012.11,27.43,100,6929.25,11.54
20241013084008,0,1012.21,28.08,100,9329.17,21.46
20241013085008,0,1012.24,28.63,100,7238,13.64
20241014070008,0,1010.62,25.09,100,2499,1.21
20241014071008,0,1010.78,25.37,100,2762.42,1.54
20241014072008,0,1010.82,25.65,100,3025.92,1.88
20241014073008,0,1010.76,25.98,100,3262.83,2.2
20241014074008,0,1010.81,26.22,100,3482.75,2.61
20241014075008,0,1010.86,26.37,100,3710.25,3.03
20241014080008,0,1010.8,26.67,100,3928.75,3.48
20241014081008,0,1010.75,27.07,100,4182.33,4.03
20241014082008,0,1010.83,27.34,100,4442.83,4.63
20241014083008,0,1010.91,27.77,100,4653.75,5.18
20241014084008,0,1010.92,27.92,100,4821.67,5.68
20241014085008,0,1010.88,28.23,100,5025.16,6.27
20241015070008,0,1009.91,25.34,100,1482.42,0.42
20241015071008,0,1010.01,25.23,100,1596.5,0.36
20241015072008,0,1010.11,25.56,100,2551.33,1.31
20241015073008,0,1010.36,26.22,100,5127.42,7.17
20241015074008,0,1010.45,26.42,100,4681.17,5.77
20241015075008,0,1010.56,26.64,100,3873.58,3.57
20241015080008,0,1010.65,26.78,100,4345.67,4.61
20241015081008,0,1010.86,27.04,100,4271,4.4
20241015082008,0,1010.95,27.38,100,5176.5,5.67
20241015083008,0,1010.93,27.56,100,5467.33,7.21
20241015084008,0,1010.81,27.93,100,4852.5,6.02
20241015085008,0,1010.61,28.12,100,3961.5,3.46
20241016070008,0,1011.54,26.53,100,2308.75,1.09
20241016071008,0,1011.61,26.64,100,2735.67,1.64
20241016072008,0,1011.65,26.91,100,2957.42,1.9
20241016073008,0,1011.71,27.11,100,3251.92,2.37
20241016074008,0,1011.81,27.38,100,3496.75,2.81
20241016075008,0,1012.07,27.62,100,3920.33,3.68
20241016080008,0,1012.18,27.81,100,4529,5.04
20241016081008,0,1012.24,28.19,100,5309,7.11
20241016082008,0,1012.33,28.51,100,5188.5,6.65
20241016083008,0,1012.34,28.8,100,5063.08,6.29
20241016084008,0,1012.36,29.01,100,5217.83,6.94
20241016085008,0,1012.33,29.32,100,5101.92,6.99
20241017070008,0,1010.65,26.23,100,4004.08,3.79
20241017071008,0,1010.7,26.44,100,4153.33,4.25
20241017072008,0,1010.76,26.87,100,4374.5,4.81
20241017073008,0,1010.76,27.1,100,3253.66,2.61
20241017074008,0,1010.87,27.19,100,3288.83,2.5
20241017075008,0,1010.95,27.44,100,3427.08,2.8
20241017080008,0,1011.08,27.84,100,3744.67,3.26
20241017081008,0,1011.07,28.21,100,3941.17,3.82
20241017082008,0,1011.07,28.54,100,3945.17,3.88
20241017083008,0,1011.08,28.97,100,5455.92,8.24
20241017084008,0,1011.15,29.56,100,9018.92,19.17
20241017085008,0,1011.24,29.9,100,10259.08,23.84
20241018070008,0,1009.38,26.72,100,2281.92,1.06
20241018071008,0,1009.49,26.71,100,2507.33,1.3
20241018072008,0,1009.56,26.94,100,2702.83,1.55
20241018073008,0,1009.65,27.18,100,2887.08,1.81
20241018074008,0,1009.68,27.36,100,3067.16,2.14
20241018075008,0,1009.66,27.61,100,3232.17,2.42
20241018080008,0,1009.72,27.99,100,3441,2.88
20241018081008,0,1009.74,28.44,100,3618.75,3.33
20241018082008,0,1009.77,28.64,100,3774.17,3.73
20241018083008,0,1009.76,29.04,100,3908.75,4.09
20241018084008,0,1009.71,29.17,100,4034.33,4.47
20241018085008,0,1009.75,29.36,100,4171.83,4.88
20241019070008,0,1010.78,25.42,100,2158.58,0.96
20241019071008,0,1010.88,25.63,100,2374.83,1.18
20241019072008,0,1010.85,25.99,100,2565.25,1.43
20241019073008,0,1010.83,26.16,100,2740.92,1.64
20241019074008,0,1011,26.76,100,2919,1.99
20241019075008,0,1011.05,26.78,100,3091.33,2.25
20241019080008,0,1011.1,27.04,100,3258.58,2.71
20241019081008,0,1011.08,27.33,100,3423.75,3.07
20241019082008,0,1011.15,27.64,100,3557.5,3.47
20241019083008,0,1011.15,27.85,100,3678.08,3.76
20241019084008,0,1011.07,28.08,100,3783.42,4.14
20241019085008,0,1010.96,28.38,100,3874.75,4.48
20241020070008,0,1014.18,25.99,100,487.25,0.05
20241020071008,0,1014.31,26.12,100,780.08,0.16
20241020072008,0,1014.45,26.64,100,2636.67,1.81
20241020073008,0,1014.52,26.7,100,2525.42,1.66
20241020074008,0,1014.61,26.84,100,2638.83,1.89
20241020075008,0,1014.69,27.23,100,3583.75,3.21
20241020080008,0,1014.69,27.73,100,3821.94,3.59
20241020081008,0,1014.69,28.06,100,5625.5,7.61
20241020082008,0,1014.79,28.32,100,5722.17,7.8
20241020083008,0,1014.84,28.4,100,6484,10.61
20241020084008,0,1014.9,28.64,100,5884.92,9.86
20241020085008,0,1014.98,28.13,100,3436.33,3.55
20241021070008,0,1012.43,27.66,100,2516.08,1.62
20241021071008,0,1012.46,27.89,100,1903.42,0.91
20241021072008,0,1012.52,27.91,100,1331.58,0.4
20241021073008,0,1012.6,27.86,100,2060.17,1.01
20241021074008,0,1012.66,27.59,100,2887.33,2.25
20241021075008,0,1012.7,27.41,100,4710.75,5.45
20241021080008,0,1012.77,27.78,100,6201.17,9.36
20241021081008,0,1012.86,28.28,100,5442.68,7.23
20241021082008,0,1012.98,29.03,100,10097.42,25.25
20241021083008,0,1012.95,30.46,100,12665.33,37.61
20241021084008,0,1012.95,31.25,100,13609.75,44.06
20241021085008,0,1012.91,31.73,100,14176.92,46.36
20241022070008,0,1010.55,26.31,100,2015.83,0.74
20241022071008,0,1010.57,26.22,100,2671.42,1.59
20241022072008,0,1010.53,26.15,100,2719.83,1.58
20241022073008,0,1010.6,26.36,100,2990.67,1.97
20241022074008,0,1010.65,26.82,100,3254.25,2.5
20241022075008,0,1010.79,27.11,100,3430.83,2.83
20241022080008,0,1010.8,27.22,100,3761,3.48
20241022081008,0,1010.81,27.64,100,3999.33,4.12
20241022082008,0,1010.82,27.92,100,4199.08,4.56
20241022083008,0,1010.71,27.91,100,4359.75,5.05
20241022084008,0,1010.54,28.34,100,4496.25,5.38
20241022085008,0,1010.39,28.58,100,4670.58,6.07
20241023070008,0,1008.13,27.9,100,3029.92,2.16
20241023071008,0,1008.33,27.96,100,2501.67,1.56
20241023072008,0,1008.54,27.92,100,4179.67,4.38
20241023073008,0,1008.84,28.03,100,3845.67,3.58
20241023074008,0,1008.96,28.11,100,3580.58,3.07
20241023075008,0,1009.13,28.04,100,3952.25,3.76
20241023080008,0,1009.24,27.98,100,4217.42,4.51
20241023081008,0,1009.34,28.15,100,7304.08,14.53
20241023082008,0,1009.41,29,100,11409.33,31.54
20241023083008,0,1009.46,28.82,100,6890.75,11.58
20241023084008,0,1009.43,28.45,100,5552.71,7.42
20241023085008,0,1009.58,28.44,100,6317.67,10.03
20241024070008,0,1004.32,24.01,100,2117.75,1.07
20241024071008,0,1004.66,23.82,100,2342,1.25
20241024072008,0,1004.63,23.83,100,2699.17,1.71
20241024073008,0,1004.61,24.01,100,3231.89,2.56
20241024074008,0,1004.59,23.94,100,5062,6.11
20241024075008,0,1004.78,24.18,100,4696.08,5.28
20241024080008,0,1004.75,24.43,100,3264.17,2.39
20241024081008,0,1004.93,24.5,100,2893.24,1.96
20241024082008,0,1004.85,24.04,100,3634.17,2.77
20241024083008,0,1004.7,23.99,100,4454.34,4.68
20241024084008,0,1004.71,24.15,100,4030.56,4.07
20241024085008,0,1004.66,24.19,100,5008.54,6.11
20241025070008,0,1004.25,26.6,100,4930.84,5.4
20241025071008,0,1004.2,26.86,100,4970,5.5
20241025072008,0,1004.18,26.96,100,5591.67,7
20241025073008,0,1004.24,26.97,100,4296.11,4.3
20241025074008,0,1004.31,26.94,100,3093.33,2.45
20241025075008,0,1004.68,26.78,100,1930.83,0.75
20241026070008,0,1005.51,26.24,100,1327.8,0.44
20241026071008,0,1005.68,26.51,100,2071,1.02
20241026072008,0,1005.84,26.58,100,2687.75,1.67
20241026073008,0,1006.06,26.4,100,4154,3.74
20241026074008,0,1006.23,26.85,100,4225.5,3.98
20241026075008,0,1006.33,27,100,3441.92,2.78
20241026080008,0,1006.43,26.91,100,3558.33,3.02
20241026081008,0,1006.62,26.76,100,2894.67,2.05
20241026082008,0,1006.73,26.73,100,3313.33,2.48
20241026083008,0,1006.72,26.86,100,4374.75,4.43
20241026084008,0,1006.71,27.17,100,5028.42,5.89
20241026085008,0,1006.67,27.35,100,6061.58,8.62
20241027070008,0,1007.15,26.37,100,1836.5,0.74
20241027071008,0,1007.16,26.39,100,2208.75,1.06
20241027072008,0,1007.2,26.44,100,2448.5,1.36
20241027073008,0,1007.2,26.6,100,3695.08,3.17
20241027074008,0,1007.2,27.12,100,4729.33,5.02
20241027075008,0,1007.14,27.17,100,6574.75,9.93
20241027080008,0,1007.09,27.19,100,7913.42,13.91
20241027081008,0,1007.04,26.27,100,6027,8.16
20241027082008,0,1007.02,26.28,100,6490.83,9.66
20241027083008,0,1007.04,26.38,100,8253.67,15.58
20241027084008,0,1007.06,26.51,100,9933.17,22.47
20241027085008,0,1006.95,26.57,100,12549.58,35.3
20241028070008,0,1004.48,25.96,100,2624.75,1.47
20241028071008,0,1004.65,25.86,100,3180.83,2.24
20241028072008,0,1004.68,26.04,100,3550,2.75
20241028073008,0,1004.7,26.22,100,3126.08,1.99
20241028074008,0,1004.89,26.31,100,4030.5,3.98
20241028075008,0,1004.98,26.57,100,3825.67,3.36
20241028080008,0,1005.1,26.98,100,6253,8.83
20241028081008,0,1005.39,27.48,100,7866.92,14.76
20241028082008,0,1005.55,28.05,100,9828.08,23
20241028083008,0,1005.5,28.38,100,10361.46,24.66
20241028084008,0,1005.56,28.4,100,11140.17,29.14
20241028085008,0,1005.63,28.55,100,11384.42,31.48
20241029070008,0,1006.26,27.63,100,2885,1.77
20241029071008,0,1006.43,27.72,100,3610,3.04
20241029072008,0,1006.62,28.17,100,5898.84,9.73
20241029073008,0,1006.7,28.72,100,5681.17,8.12
20241029074008,0,1006.76,28.64,100,5480.67,8.59
20241029075008,0,1006.76,28.73,100,4893.08,7.64
20241029080008,0,1006.79,28.86,100,6280.42,12.45
20241029081008,0,1006.79,29.04,100,9576.02,23.5
20241029082008,0,1006.84,29.46,100,10567.42,30.07
20241029083008,0,1006.82,29.64,100,10445.75,28.01
20241029084008,0,1006.76,29.22,100,6457.5,11.08
20241029085008,0,1006.82,28.98,100,5483.5,8.3
20241030070008,0,1005.67,25.12,100,2618.58,1.79
20241030071008,0,1005.68,25.2,100,3001.42,2.35
20241030072008,0,1005.58,25.11,100,4038.75,4
20241030073008,0,1005.58,25.62,100,4437.58,4.83
20241030074008,0,1005.36,26.01,100,4282.42,4.63
20241030075008,0,1005.23,25.77,100,6380.5,10.1
20241030080008,0,1005.56,26.38,100,5253.33,6.4
20241030081008,0,1005.75,26.71,100,6107,8.71
20241030082008,0,1005.99,27.08,100,4597.92,5.45
20241030083008,0,1006.27,27.13,100,4012.08,4.01
20241030084008,0,1006.64,27.05,100,4758.8,5.42
20241030085008,0,1006.81,27.4,100,5073.58,6.05
