Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240920075010,2.3,1003.54,38.58,49.11,7022.75,97.16
20240920080010,1.19,1003.51,40.42,44.23,8117.58,132.33
20240920081010,2.23,1003.47,40.82,41.99,12470.42,174.39
20240920082010,0.84,1003.54,42.44,39.32,16676.92,230.85
20240920083010,1.63,1003.61,44.62,34.42,18466.67,297.58
20240920084010,1.12,1003.66,45.13,32.25,21410.75,380.23
20240920085010,0.93,1003.73,47.48,28.51,28362.25,476.52
20240921070010,1.62,1000.67,28.33,99.15,6440.42,10
20240921071010,1.32,1000.84,28.85,95.15,7736.75,15.02
20240921072010,1,1001.04,29.69,89.79,8842.58,20.83
20240921073010,1.75,1001.14,30.26,86.08,9722.41,26.8
20240921074010,1.62,1001.36,30.83,82.3,10428.42,31.17
20240921075010,2.23,1001.56,30.93,79.06,11239.58,36.38
20240921080010,2.51,1001.63,31.56,76.99,12776.66,54.89
20240921081010,1.95,1001.62,32.59,72.74,15118.92,69.76
20240921082010,1.39,1001.82,33.04,69.32,15902.25,61.02
20240921083010,2.74,1002.03,32.63,70.11,17906.42,75.1
20240921084010,1.92,1002.34,32.28,71.04,16206.5,54.14
20240921085010,1.13,1002.34,32.84,71.06,18254.83,70.43
20240922070010,0.74,1003.45,29.69,89.87,4936.58,5.44
20240922071010,0.19,1003.61,30.02,89.69,5175,6.13
20240922072010,0.11,1003.71,30.35,88.94,6323.33,8.95
20240922073010,0.22,1003.78,30.79,86.17,7803.58,13.7
20240922074010,0.48,1003.83,31.32,84.02,9845.83,24
20240922075010,0.38,1003.9,32.93,75.13,12184.83,44.88
20240922080010,0.23,1004,33.47,73.24,13471,42.51
20240922081010,0.33,1004.12,33.8,70.25,15234.75,55.05
20240922082010,0.15,1004.32,34.49,67.52,16109.08,57.9
20240922083010,0,1004.47,35.13,65.13,16981.5,61.93
20240922084010,0.08,1004.47,35.5,62.75,18418.75,79
20240922085010,0.1,1004.39,35.9,60.64,18751.42,79.48
20240924070010,0.57,1009.89,29.16,100,5120.75,11.56
20240924071010,0.52,1010.04,30.62,100,5654.25,17.38
20240924072010,0.87,1010.14,30.75,100,4198.67,9.2
20240924073010,0.06,1010.23,29.47,100,3353.75,4.29
20240924074010,0.7,1010.21,31.36,100,5688.17,34.18
20240924075010,0.17,1010.22,32.24,100,9121.17,46.74
20240924080010,0.74,1010.33,34.17,97.07,14218.67,102.05
20240924081010,1.04,1010.36,34.35,93.57,14986.17,98.12
20240924082010,0.39,1010.38,37.33,76.39,19344,231.92
20240924083010,0.18,1010.32,40.66,57.59,18634.08,205.4
20240924084010,0.23,1010.18,39.46,54.34,16436.92,137.45
20240924085010,0.33,1010.04,37.72,58.84,18390.17,172.16
20240925070010,1.09,1008.37,29.45,98.38,6064.92,8.99
20240925071010,0.77,1008.45,29.65,98.86,7062.42,11.89
20240925072010,0.63,1008.53,30.37,95.73,8585,19.51
20240925073010,0.39,1008.67,31.6,88.14,9589.42,30.48
20240925074010,1.18,1008.78,31.49,86.78,8805,18.43
20240925075010,0.78,1008.84,31.37,87.97,8816.5,18.92
20240925080010,0.98,1008.89,31.38,86.58,10304.17,25.76
20240925081010,1.38,1008.88,31.92,83.08,14552.75,48.45
20240925082010,1.38,1008.9,32.63,78.1,16928.25,65.53
20240925083010,0.87,1008.84,33.37,72.87,18430.75,80
20240925084010,1.09,1008.78,35.79,63.63,29491.69,343.74
20240925085010,1.82,1008.72,41.68,43.06,44886.7,732.34
20240926070010,0,1007.51,28.54,100,3394.84,2.65
20240926071010,0.02,1007.76,28.75,100,4035.5,3.65
20240926072010,0.02,1007.96,28.76,100,4653.42,4.75
20240926073010,0,1007.98,29.19,100,6431.5,8.8
20240926074010,0,1007.94,29.69,100,7078.08,10.47
20240926075010,0,1008.09,29.74,100,5307.08,5.62
20240926080010,0,1008.14,29.77,100,5153.42,5.48
20240926081010,0,1008.06,29.97,99.87,5150.83,5.8
20240926082010,0,1008.13,30.11,100,4691.25,5.18
20240926083010,0,1008.24,30.11,99.98,4000.5,3.74
20240926084010,0,1008.19,30.24,99.62,6249.92,8.71
20240926085010,0,1008.16,30.75,94.86,10205.5,20.46
20240927070010,1.07,1007.21,26.46,100,4893.58,6.65
20240927071010,0.08,1007.24,26.97,100,5845.75,9.03
20240927072010,0.1,1007.31,27.41,100,6501.5,12.13
20240927073010,0.14,1007.3,28.05,100,8896.92,24.28
20240927074010,0.52,1007.26,29.29,100,11497.83,48.41
20240927075010,1.28,1007.32,31.68,100,16602.58,161.39
20240927080010,1.69,1007.4,32.64,100,17410.75,104.62
20240927081010,1.59,1007.43,31.64,99.18,17625.92,118.8
20240927082010,1.94,1007.36,36.57,77.35,25161,464.02
20240927083010,1.28,1007.27,38.35,61.36,25090.92,255.17
20240927084010,0.96,1007.22,39.05,53.38,32910.83,411.67
20240927085010,1.48,1007.27,39.91,51.3,36953.41,452.92
20240928070010,0.94,1006.48,25.24,100,2295.92,1.5
20240928071010,1.46,1006.62,25.78,100,4866.25,6.98
20240928072010,0.79,1006.79,26.26,100,4323.67,5.29
20240928073010,0.26,1006.93,26.86,100,7848.75,15.85
20240928074010,0.4,1007.02,28.01,100,8342.83,19.16
20240928075010,0.72,1007.17,28.09,100,9070,23.18
20240928080010,0.59,1007.34,28.97,99.98,10740.25,30.21
20240928081010,1.18,1007.25,28.66,99.84,8252,17.4
20240928082010,0.63,1007.19,30.62,92.5,17299.75,139.93
20240928083010,1.18,1007.24,31.29,81,16734.67,65.08
20240928084010,1.26,1007.22,31.96,78.69,26544.52,306.55
20240928085010,1.21,1007.13,35.73,59.76,23454.1,220.62
20240929070010,0.26,1005.7,25.9,100,3833.83,5.85
20240929071010,0.73,1005.85,26.11,100,5012.25,7.26
20240929072010,0.47,1006.11,26.29,100,5736.08,9.04
20240929073010,0.53,1006.32,27.3,100,10054.42,27.22
20240929074010,0.27,1006.59,28.47,100,12595.83,35.35
20240929075010,0.21,1006.67,29.02,100,11434.92,30.42
20240929080010,1.01,1006.76,28.92,100,11866.25,30.67
20240929081010,0.29,1007.03,28.98,100,10029.25,22.1
20240929082010,0.19,1007.09,29.13,99.97,10546.25,27.01
20240929083010,0.47,1006.96,29.6,100,13413.83,38.49
20240929084010,0.85,1006.94,29.94,96.34,13472.75,42.27
20240929085010,1.54,1006.82,32.15,82.74,32288.76,387.65
20240930070010,0.14,1005.73,24.05,100,205.97,0.01
20240930071010,0.05,1005.99,24,100,283.92,0.02
20240930072010,0,1006.02,24.05,100,454.75,0.03
20240930073010,0,1005.96,24.16,100,749.92,0.1
20240930074010,0.08,1006.22,23.96,100,1269,0.3
20240930075010,0,1006.17,24.07,100,2605.67,1.43
20240930080010,0,1005.72,24.36,100,3809.83,3.65
20240930081010,0.04,1005.44,24.88,100,6892.75,11.13
20240930082010,0,1005.33,25.1,100,7273.75,13.21
20240930083010,0,1005.2,25.52,100,5844,9.89
20240930084010,0,1004.79,25.59,100,6449,11.87
20240930085010,0.06,1004.96,25.34,100,4627.58,5.98
20241001070010,0.89,1004.2,24.23,100,3753.25,3.38
20241001071010,0.03,1004.38,24.46,100,3737.92,3.09
20241001072010,0.02,1004.53,24.49,100,3352.25,2.63
20241001073010,0.12,1004.54,24.81,100,5938.25,8.1
20241001074010,0.39,1004.54,25.06,100,6163,8.56
20241001075010,1.33,1004.63,24.92,100,5033.17,5.56
20241001080010,1.31,1004.7,24.86,100,3581,3.05
20241001081010,0.47,1004.87,24.97,100,4099.58,3.97
20241001082010,0.11,1004.68,25.86,100,12184.17,34.56
20241001083010,0.04,1004.31,29.89,100,21618.17,226.07
20241001084010,0.88,1004.22,34.24,85.12,26771.08,462.16
20241001085010,1,1004.3,34.43,66.72,27234.66,309.1
20241002070010,1.03,1005.79,23.57,100,2828.33,1.98
20241002071010,1.06,1005.98,23.78,100,5574.17,7.13
20241002072010,0.3,1005.88,24.13,100,6318.75,9.07
20241002073010,2.4,1006.12,24.16,100,6852.92,10.5
20241002074010,1.79,1006.31,24.49,100,9220.83,18.7
20241002075010,1.85,1006.39,25.01,100,11240.34,28.91
20241002080010,1.83,1006.48,25.68,100,13093.25,40.42
20241002081010,1.25,1006.55,26.53,100,13752.42,45.59
20241002082010,1.34,1006.66,26.32,100,8881.83,16.87
20241002083010,1.47,1006.59,26.27,100,9015.58,16.76
20241002084010,1.79,1006.6,26.73,100,12319.25,32.19
20241002085010,0.76,1006.67,27.21,100,14378.92,40.87
